"house","name","native_or_non_native","species","family","coniferous_not","dbh_out_cm","ht_m","canopy_density_percent","cbh","density_g_cm3","biomass_chave_kg","basal_area_m_2","canopy_width_m","canopy_length_m","crown_area_m2","type","dissemination_area"
"R31","Katsura","non-native","Cercidiphyllum japonicum","Cercidiphyllaceae","dec",1,1.45,60,"0",0.38,0.0376165554532285,7.85398163397448e-05,0.5,0.5,0.196349540849362,"tree","R3"
"R31","Apple","non-native","Malus domestica","Rosaceae","dec",4.2,2.6,70,"0.3",0.65,1.84933292923439,0.0013854423602331,2.5,2.5,4.90873852123405,"tree","R3"
"R31","Common lilac","non-native","Syringa vulgaris","Oleaceae","dec",1.4,5.2,70,"1.4",0.55,0.361968050039433,0.0001539380400259,4,3.5,10.9955742875643,"tree","R3"
"R31","Katsura tree","non-native","Cercidiphyllum japonicum","Cercidiphyllaceae","dec",2.3,2.6,55,"0.4",0.38,0.338057502020782,0.00041547562843725,1,1,0.785398163397448,"tree","R3"
"R31","Black currant","non-native","Ribes nigrum","Grossulariaceae","dec",4,2.4,65,"0.3",0.46,1.10961925135248,0.00125663706143592,2,1.5,2.35619449019234,"tree","R3"
"R32","Common holly","non-native","Ilex aquifolium","Aquifoliaceae","dec",30.5,8,80,"3",0.69,281.51457874008,0.0730616641500476,5,3,11.7809724509617,"tree","R3"
"R32","Katsura tree","non-native","Cercidiphyllum japonicum","Cercidiphyllaceae","dec",34.5,11.8,70,"1.5",0.38,292.323390535441,0.0934820163983813,7.5,8,47.1238898038469,"tree","R3"
"R32","European mountain-ash","non-native","Sorbus aucuparia","Rosaceae","dec",17.33,8.6,50,"2",0.55,80.3182675038342,0.0235877766475176,6,3,14.1371669411541,"tree","R3"
"R33","Japanese umbrella pine","non-native","Sciadopitys verticillata","Sciadopityaceae","con",0.28,5,65,"0.2",0.33,0.00914390848706824,6.157521601036e-06,2,2,3.14159265358979,"tree","R3"
"R33","Japanese maple","non-native","Acer palmatum","Aceraceae","dec",0.3,5.3,75,"0.5",0.53,0.0175849950700052,7.06858347057703e-06,5.7,4.9,21.9361707036907,"tree","R3"
"R33","Japanese cypress","non-native","Chamaecyparis obtusa","Cupressaceae","dec",0.97,8.4,80,"7.7",0.41,0.212015258073814,7.38981131940659e-05,5.3,5.3,22.0618344098343,"tree","R3"
"R34","Apple","non-native","Malus domestica","Rosaceae","dec",44,4.8,60,"1.5",0.65,329.859937601927,0.152053084433746,6.9,6.1,33.0574086973986,"tree","R3"
"R34","Western redcedar","native","Thuja plicata","Cupressaceae","con",129.5,24,80,"1.3",0.32,6535.49072910687,1.31713235497161,15.5,14.7,178.952971530109,"tree","R3"
"R34","Japanese camellia","non-native","Camellia japonica","Theaceae","dec",8.66,3,80,"0.6",0.55,7.41846955993572,0.00589014065028897,2.7,2.1,4.45320758646353,"tree","R3"
"R34","Japanese maple","non-native","Acer palmatum","Aceraceae","dec",12.23,1.9,70,"1.3",0.53,8.98727998366669,0.011747428095403,3.1,2.8,6.81725605828985,"tree","R3"
