House;Species;Native;Type;Fruiting;Flowering;Grain
;rockspray cotoneaster;non;shrub;y;n;n
;pacific rhododendron;native;shrub;y;n;n
;autumn sage;non;shrub;n;n;n
;western red cedar;non;shrub;n;n;n
;trumpet honeysuckle;non;shrub;n;n;n
;multiflora rose;non;shrub;n;n;n
;japanese skimmia;non;shrub;n;y;n
;smooth hydrangea;non;shrub;n;n;n
M24;lady fern;native;Plant;n;n;n
;iceland poppy;non;Plant;n;n;n
;herb robert;native;Plant;n;n;n
;creeping buttercup;non;Plant;n;n;n
;peony;non;Plant;n;n;n
;spanish bluebell;non;Plant;n;n;n
;pacific rhododendron;native;Shrub;y;n;n
;common lilac;non;Shrub;y;n;n
;china rose;non;Shrub;n;n;n
;chinese wisteria;non;Shrub;y;n;n
;Japanese flowering quince;non;Shrub;n;n;n
;sweet mock orange;native;Shrub;n;n;n
M31;creeping buttercup;non;Plant;n;n;n
;sword fern;native;Plant;n;n;n
;lady fern;native;Plant;n;n;n
;leafy spurge;non;Plant;n;n;n
;strawberry;native;Plant;y;n;n
;tomato;non;Plant;n;y;n
;spanish bluebell;non;Plant;n;n;n
;english lavender;non;Plant;n;n;n
;giant onion;non;Plant;y;n;n
;plantain lily;non;Plant;n;n;n
;china rose;non;Shrub;y;n;n
;peony;non;Shrub;n;n;n
;yellow flag;non;Shrub;y;n;n
;rockspray cotoneaster;non;Shrub;y;n;n
;japanese skimmia;non;Shrub;n;y;n
;old fashioned weigela;non;Shrub;y;n;n
;dog rose;non;Shrub;y;n;n
;Thuja occidentalis;non;Shrub;n;n;n
;french rose;non;Shrub;y;n;n
;evergreen spindle;non;Shrub;n;n;n
M41;garden verbena;non;Plant;y;n;n
;garden petunia;non;Plant;y;n;n
;lenten rose;non;Plant;y;n;n
;plantain lily;non;Plant;n;n;n
;hakone grass;non;Plant;n;n;y
;upright sedge;non;Plant;n;n;n
;lily of the valley;non;Plant;n;n;n
;hart's tongue fern;non;Plant;n;n;n
;creeping jenny;non;Plant;n;n;n
;bacopa;non;Plant;n;n;n
;evergreen candytuft;non;Plant;n;n;n
;chives;non;Plant;y;n;n
;wax begonia;non;Plant;y;n;n
;big blue lilyturf;non;Plant;n;n;n
;western red cedar;native;shrub;n;n;n
;japanese camellia;non;shrub;n;n;n
;japanese yew;non;shrub;n;n;n
;japanese pieris;non;shrub;n;n;n
;sweet osmanthus;non;shrub;n;n;n
;star jasmine;non;shrub;n;n;n
;panicle hydrangea;non;shrub;n;n;n
;false spiraea;non;shrub;n;n;n
;alpen rose;non;shrub;n;n;n
;pacific rhododendron;native;shrub;n;n;n
;vasvine;non;shrub;y;n;n
;false azalea;native;shrub;y;n;n
;japanese maple;non;shrub;n;n;n
;common boxwood;non;shrub;y;n;n
;great laurel;native;shrub;y;n;n
;common lilac;non;shrub;y;n;n
;smoketree;non;shrub;y;n;n
;japanese snowbell;non;shrub;y;n;n
M42;chives;non;Plant;n;n;n
;sweet fennel;non;Plant;n;n;n
;garlic;non;Plant;n;n;n
;lettuce;non;Plant;n;n;n
;wall lettuce;non;Plant;n;n;n
;large bindweed;non;Plant;n;n;n
;english ivy;non;Plant;n;n;n
;grapeleaf anemone;non;Plant;n;n;n
;creeping buttercup;non;Plant;y;n;n
;iceland poppy;non;Plant;y;n;n
;common nipplewort;non;Plant;n;n;n
;creeping woodsorrel;non;Plant;n;n;n
;thimbleberry;native;Plant;n;n;n
;western sword fern;native;Plant;n;n;n
;ground elder;non;Plant;n;n;n
;horseradish;non;Plant;n;n;n
;common bean;non;Plant;n;n;n
;common columbine;native;Plant;n;n;n
;rhubarb;non;Plant;n;n;n
;parsley;non;Plant;n;n;n
;heavenly bamboo;non;shrub;n;y;n
;spurge laurel;non;shrub;n;n;n
;great laurel;native;shrub;n;n;n
;japanese cherry;non;shrub;n;n;n
;peony;non;shrub;n;n;n
;panicle hydrangea;non;shrub;n;n;n
;ginkgo;non;shrub;n;n;n
;japanese camellia;non;shrub;n;n;n
R11;orpine;non;Plant;n;n;n
;common bugloss;non;Plant;n;n;n
;candle larkspur;non;Plant;n;n;n
;basil;non;Plant;n;n;n
;chives;non;Plant;n;n;n
;longleaf speedwell;non;Plant;n;n;n
;Spanish bluebell;non;Plant;n;n;n
;English ivy;non;Plant;n;n;n
;English lavender;non;Shrub;n;n;n
;Cape jasmine;non;Shrub;n;n;n
;Japanese yew;non;Shrub;n;n;n
;Canada yew;native;Shrub;n;n;n
;Oriental arborvitae;non;Shrub;n;n;n
;Pacific rhododendron;native;Shrub;n;n;n
R12;Lavender;non;plant;n;n;n
;Parsley;non;plant;n;n;n
;mint;non;plant;n;n;n
;common Sage;non;plant;n;n;n
;blueberry;native;plant;n;n;n
;white impatiens;non;plant;n;n;n
;false buck's beard;native;plant;n;n;n
;Lenten rose;non;plant;n;n;n
;dusty miller;non;plant;n;n;n
;garden dahlia;non;plant;n;n;n
;Japanese maple;non;Shrub;n;n;n
;Common boxwood;non;Shrub;n;n;n
;Siberian dogwood;non;Shrub;n;n;n
;Paeonia lactiflora;non;Shrub;n;n;n
;Tree peony;non;Shrub;y;n;n
;Japanese yew;non;Shrub;n;n;n
;common lilac;non;Shrub;y;n;n
;Chinese wisteria;non;Shrub;y;n;n
;Winter creeper;non;Shrub;n;n;n
R13;garden tulip;non;Plant;n;n;n
;sword fern;native;Plant;n;n;n
;English ivy;non;Plant;n;n;n
;winter creeper;non;Plant;n;n;n
;plantain lily;non;Plant;n;n;n
;Iceland poppy;non;Plant;n;n;n
;spurge laurel;non;Plant;n;n;n
;thimbleberry;native;Plant;n;n;n
;Spanish bluebell;non;Plant;n;n;n
;Fatsia japonica;non;Plant;n;n;n
;Norway spruce;non;shrub;n;n;n
;pacific rhododendron;native;shrub;n;n;n
;red cedar;native;shrub;n;n;n
;false chestnut;non;shrub;n;n;n
;Mexican orange;non;shrub;n;n;n
;Japanese maple;non;shrub;n;n;n
;Pieris japonica;non;shrub;n;n;n
;Japanese skimmia;non;shrub;n;n;n
;Chinese photinia;non;shrub;n;n;n
;Japanese laurel;non;shrub;n;n;n
;bigleaf hydrangea;non;shrub;n;n;n
R21;Strawberry;native;Plant;n;n;n
;Feverfew;non;Plant;y;n;n
;old-fashioned weigela;non;Plant;n;n;n
;shasta daisy;non;Plant;n;n;n
;Peppermint;non;Plant;n;n;n
;chives;non;Plant;n;n;n
;zonal geranium;non;Plant;n;n;n
;china rose;non;Plant;n;n;n
;woodland forget-me-not;non;Plant;n;n;n
;lemon balm;non;Plant;n;n;n
;evergreen candytuft;non;Plant;n;n;n
;lily of the valley;non;Plant;n;n;n
;iceland poppy;non;Plant;n;n;n
;swamp sunflower;non;Plant;n;n;n
;Great Laurel;native;shrub;y;n;n
;Western red cedar;native;shrub;n;n;n
;Highbush blueberry;native;shrub;y;n;n
;Evergreen azalea;non;shrub;y;n;n
;Pacific rhododendron;native;shrub;n;n;n
;Black cherry;non;shrub;n;n;n
;Viburnum tinus;non;shrub;n;n;n
R22;creeping bellflower;non;Plant;n;n;n
;anise;non;Plant;y;y;n
;japanese honeysuckle;non;Plant;n;n;n
;common periwinkle;non;Plant;y;n;n
;spanish bluebell;non;Plant;n;n;n
;china rose;non;Plant;n;n;n
;plantain lily;non;Plant;n;n;n
;yellow flag;non;Plant;n;n;n
;old fashioned weigela;non;shrub;y;n;n
;bigleaf hydrangea;non;shrub;n;n;n
;blue blossom;non;shrub;n;n;n
;japanese meadowsweet;non;shrub;y;n;n
;sweet mock orange;native;shrub;y;n;n
;kousa dogwood;non;shrub;n;n;n
;common lilac;non;shrub;y;n;n
;siberian dogwood;non;shrub;n;n;n
;great laurel;native;shrub;y;n;n
;smoketree;non;shrub;n;n;n
;japanese pieris;non;shrub;n;n;n
;japanese barberry;non;shrub;n;n;n
;multiflora rose;non;shrub;n;n;n
;mexican orange;non;shrub;y;n;n
;koreanspice viburnum;non;shrub;n;n;n
;western red cedar;native;shrub;y;n;n
R23;Polystichum braunii;native;Plant;n;n;n
;Lavandula angustifolia;non;Plant;y;n;n
;Strawberry;native;Plant;y;y;n
;Festuca californica;non;Plant;n;n;y
;Viola tricolor;non;Plant;y;n;n
;Hakonechloa macra;non;Plant;n;n;n
;Myrsine lessertiana;non;Shrub;n;y;n
;Hydrangea paniculata;non;Shrub;n;n;n
;Prunus caroliniana;non;Shrub;n;y;n
;common lilac;non;Shrub;y;n;n
;Syringa villosa;non;Shrub;n;n;n
;Common boxwood;non;Shrub;n;n;n
;Daphne odora;non;Shrub;n;n;n
R31;ditch lily;non;Plant;y;n;n
;garden tulip;non;Plant;n;n;n
;garden phlox;non;Plant;n;n;n
;bigleaf hydrangea;non;Plant;n;n;n
;giant onion;non;Plant;n;n;n
;lady's mantle;non;Plant;n;n;n
;siberian iris;non;Plant;n;n;n
;chinese astilbe;non;Plant;n;n;n
;august lily;non;Plant;n;n;n
