"house","name","native_or_non_native","type","dissemination_area"
"M11","Virginia sweetspire","non-native","shrub","M1"
"M11","Chinese clematis","non-native","shrub","M1"
"M11","Common myrtle","non-native","shrub","M1"
"M11","Sweet mock-orange","native","shrub","M1"
"M11","Western azalea","non-native","shrub","M1"
"M11","Tea-oil camellia","non-native","shrub","M1"
"M11","Buttonwood","non-native","shrub","M1"
"M11","Japanese camellia","non-native","shrub","M1"
"M11","Smooth hydrangea","non-native","shrub","M1"
"M12","Smooth hydrangea","non-native","shrub","M1"
"M12","Pacific rhododendron","native","shrub","M1"
"M12","Lewis' mock orange","native","shrub","M1"
"M12","Thuja occcidentalis","native","shrub","M1"
"M13","Hydrangea","non-native","shrub","M1"
"M13","Common boxwood","non-native","shrub","M1"
"M13","Oriental arborvitae","non-native","shrub","M1"
"M14","Vanhouttei spires","non-native","shrub","M1"
"M14","China rose","non-native","shrub","M1"
"M14","Peony","non-native","shrub","M1"
"M14","Weeping forsythia","non-native","shrub","M1"
"M14","Tree peony","non-native","shrub","M1"
"M14","Rose of sharon","non-native","shrub","M1"
"M14","Sweet mock orange","native","shrub","M1"
"M14","Common ninebark","native","shrub","M1"
"M14","Chinese wisteria","non-native","shrub","M1"
"M14","Bigleaf hydrangea","non-native","shrub","M1"
"M14","False spirea","non-native","shrub","M1"
"M21","China rose","non-native","shrub","M2"
"M21","Sweat mock orange","native","shrub","M2"
"M21","Red raspberry","native","shrub","M2"
"M21","Highbush blueberry","native","shrub","M2"
"M22","China rose","non-native","shrub","M2"
"M22","Common boxwood","non-native","shrub","M2"
"M22","Thuja accidentalis","non-native","shrub","M2"
"M22","English holly","non-native","shrub","M2"
"M22","Common hawthorn","non-native","shrub","M2"
"M23","Rockspray cotoneaster","non-native","shrub","M2"
"M23","Pacific rhododendron","native","shrub","M2"
"M23","Autumn sage","non-native","shrub","M2"
"M23","Western red cedar","native","shrub","M2"
"M23","Trumpet honeysuckle","non-native","shrub","M2"
"M23","Multiflora rose","non-native","shrub","M2"
"M23","Japanese skimmia","non-native","shrub","M2"
"M23","Smooth hydrangea","non-native","shrub","M2"
"M24","Pacific rhododendron","native","shrub","M2"
"M24","Common lilac","non-native","shrub","M2"
"M24","China rose","non-native","shrub","M2"
"M24","Chinese wisteria","non-native","shrub","M2"
"M24","Japanese flowering quince","non-native","shrub","M2"
"M24","Sweet mock orange","native","shrub","M2"
"M31","China rose","non-native","shrub","M3"
"M31","Peony","non-native","shrub","M3"
"M31","Yellow flag","non-native","shrub","M3"
"M31","Rockspray cotoneaster","non-native","shrub","M3"
"M31","Japanese skimmia","non-native","shrub","M3"
"M31","Old fashioned weigela","non-native","shrub","M3"
"M31","Dog rose","non-native","shrub","M3"
"M31","Thuja occidentalis","non-native","shrub","M3"
"M31","French rose","non-native","shrub","M3"
"M31","Evergreen spindle","non-native","shrub","M3"
"M41","Western red cedar","native","shrub","M4"
"M41","Japanese camellia","non-native","shrub","M4"
"M41","Japanese yew","non-native","shrub","M4"
"M41","Japanese pieris","non-native","shrub","M4"
"M41","Sweet osmanthus","non-native","shrub","M4"
"M41","Star jasmine","non-native","shrub","M4"
"M41","Panicle hydrangea","non-native","shrub","M4"
